Title,Location,Price,Area
           Apartment Brouwersgracht          ,          1015 GA Amsterdam (Grachtengordel-West)         ,"          €2,100 per month         ",            90 m²           
           Apartment Groenburgwal 47 3          ,          1011 HS Amsterdam (Nieuwmarkt/Lastage)         ,"          €1,750 per month         ",            40 m²           
           Apartment Amstel          ,          1017 AB Amsterdam (Grachtengordel-Zuid)         ,"          €1,750 per month         ",            69 m²           
           Apartment Vrolikstraat          ,          1092 TW Amsterdam (Oosterparkbuurt)         ,"          €1,600 per month         ",            53 m²           
           House Stadionweg          ,          1076 PJ Amsterdam (Stadionbuurt)         ,"          €1,500 per month         ",            55 m²           
           Apartment De Rijpgracht          ,          1056 XR Amsterdam (Landlust)         ,"          €1,750 per month         ",            58 m²           
           Apartment Korte Koningsdwarsstraat          ,          1011 GB Amsterdam (Nieuwmarkt/Lastage)         ,"          €1,500 per month         ",            55 m²           
           Apartment Balthasar Floriszstraat          ,          1071 TZ Amsterdam (Museumkwartier)         ,"          €2,250 per month         ",            75 m²           
           Apartment Woubruggestraat 11 hs          ,          1059 VN Amsterdam (Hoofddorppleinbuurt)         ,"          €1,600 per month         ",            56 m²           
           Apartment Rustenburgerstraat 144 A20          ,          1073 GJ Amsterdam (Nieuwe Pijp)         ,"          €1,800 per month         ",            60 m²           
           Apartment Valeriusplein 14 D          ,          1075 BH Amsterdam (Willemspark)         ,"          €6,500 per month         ",            164 m²           
           Apartment Reyer Anslostraat          ,          1054 KV Amsterdam (Overtoomse Sluis)         ,"          €2,250 per month         ",            81 m²           
           Apartment Oostenburgervoorstraat          ,          1018 MN Amsterdam (Oostelijke Eilanden/Kadijken)         ,"          €2,950 per month         ",            140 m²           
           Apartment Joos Banckersplantsoen          ,          1056 LD Amsterdam (Landlust)         ,"          €2,850 per month         ",            120 m²           
           Apartment Ruimzicht 285          ,          1068 CZ Amsterdam (Osdorp-Oost)         ,"          €1,150 per month         ",            67 m²           
           Apartment Slotermeerlaan          ,          1064 GZ Amsterdam (Slotermeer-Zuidwest)         ,"          €1,750 per month         ",            77 m²           
           Apartment Heemstedestraat 46 3          ,          1058 NN Amsterdam (Hoofddorppleinbuurt)         ,"          €1,700 per month         ",            60 m²           
           Apartment Solebaystraat          ,          1055 ZR Amsterdam (Landlust)         ,"          €1,450 per month         ",            47 m²           
           Apartment Willemsstraat 169 I          ,          1015 JC Amsterdam (Jordaan)         ,"          €1,350 per month         ",            45 m²           
           Apartment Amstelboulevard 84          ,          1096 HJ Amsterdam (Omval/Overamstel)         ,"          €2,650 per month         ",            130 m²           
           Apartment Van Hilligaertstraat 216          ,          1072 PM Amsterdam (Nieuwe Pijp)         ,"          €1,700 per month         ",            60 m²           
           Apartment Tweede Jacob van Campenstraat          ,          1073 XR Amsterdam (Oude Pijp)         ,"          €3,400 per month         ",            150 m²           
           Apartment Ten Katestraat          ,          1053 BV Amsterdam (Kinkerbuurt)         ,"          €1,500 per month         ",            55 m²           
           Apartment Oudebrugsteeg 25 1          ,          1012 JN Amsterdam (Burgwallen-Nieuwe Zijde)         ,"          €1,400 per month         ",            40 m²           
           Apartment Céramiquelaan          ,          1031 KG Amsterdam (Noordelijke IJ-oevers West)         ,"          €1,750 per month         ",            58 m²           
           Apartment Prinsengracht 1073 A          ,          1017 JG Amsterdam (Grachtengordel-Zuid)         ,"          €3,750 per month         ",            104 m²           
           Apartment Vleutenstraat 94          ,          1106 CX Amsterdam (Gein)         ,"          €1,450 per month         ",            71 m²           
           Apartment Sanderijnstraat          ,          1055 BS Amsterdam (Erasmuspark)         ,"          €1,495 per month         ",            60 m²           
           Apartment De Lairessestraat          ,          1075 HM Amsterdam (Willemspark)         ,"          €2,950 per month         ",            114 m²           
           Apartment Graafschapstraat          ,          1079 PE Amsterdam (Scheldebuurt)         ,"          €1,795 per month         ",            73 m²           
           Apartment Gelrestraat          ,          1079 MZ Amsterdam (Scheldebuurt)         ,"          €1,595 per month         ",            55 m²           
           Apartment Koningin Wilhelminaplein          ,          1062 KS Amsterdam (Westlandgracht)         ,"          €1,495 per month         ",            100 m²           
